覇,['霸']
拝,['拜']
廃,['廢']
売,['賣']
梅,['梅']
麦,['麥']
発,['發']
髪,['髮']
抜,['拔']
繁,['繁']
晩,['晚']
蛮,['蠻']
卑,['卑']
秘,['祕']
碑,['碑']
浜,['濱']
賓,['賓']
頻,['頻']
敏,['敏']
瓶,['甁']
侮,['侮']
福,['福']
払,['拂']
仏,['佛']
併,['倂']
並,['竝']
塀,['塀']
餅,['餠']
辺,['邊']
変,['變']
弁,"['辯', '瓣', '辨']"
勉,['勉']
歩,['步']
宝,['寶']
豊,['豐']
褒,['襃']
墨,['墨']
翻,['飜']
毎,['每']
万,['萬']
満,['滿']
免,['免']
麺,['麵']
黙,['默']
弥,['彌']
訳,['譯']
薬,['藥']
与,['與']
予,['豫']
余,['餘']
誉,['譽']
揺,['搖']
様,['樣']
謡,['謠']
来,['來']
頼,['賴']
乱,['亂']
覧,['覽']
欄,['欄']
竜,['龍']
隆,['隆']
虜,['虜']
両,['兩']
猟,['獵']
緑,['綠']
涙,['淚']
塁,['壘']
類,['類']
礼,['禮']
励,['勵']
戻,['戾']
霊,['靈']
齢,['齡']
暦,['曆']
歴,['歷']
恋,['戀']
練,['練']
錬,['鍊']
炉,['爐']
労,['勞']
郎,['郞']
朗,['朗']
廊,['廊']
楼,['樓']
録,['錄']
湾,['灣']
